Label,device_id,timestamp,packet_length,Header_length,TSFT,Flags,Rate,Channel,dBm_Antenna_Noise,RX_flags,CFP,Preamble,WEP,Fragmentation,FCS_at_end,DataPad,Bad_FCS,Short_GI,Data_Rate_MBS,Channel_frequency,CCK,OFDM,Antenna_signal,Bad_PLCP,PHY_type,Short_preamble,WLAN_RADIO_Data_rate_MBS,WLAN_RADIO_Channel,WLAN_RADIO_Frequency_MHZ,Signal_strength_dBM,WLAN_Duration_microseconds,WLAN_RADIO_Duration_microseconds,WLAN_RADIO_Preamble,WLAN_Version,WLAN_Retry,PWR_MGT,Destination_address,BSS_Id,Sequence_number,Tagged_parameters_bytes,SSID,Supported_Rates,MAC_timestamp,TSF_timestamp
 ,1,1406446702,62,18,0,1,1,1,0,1,0,Long,0,0,0,0,0,0,2,2412,1,0,-75,0,802.11b,0,2,1,2412,-75,0,368,192,0,0,0,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,198,20,SSID_004405,22, , 
 ,1,1406446702,62,18,0,1,1,1,0,1,0,Long,0,0,0,0,0,0,2,2412,1,0,-75,0,802.11b,0,2,1,2412,-75,0,368,192,0,0,0,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,199,20,SSID_004405,22, , 
 ,1,1406446702,62,18,0,1,1,1,0,1,0,Long,0,0,0,0,0,0,2,2412,1,0,-75,0,802.11b,0,2,1,2412,-75,0,368,192,0,0,0,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,200,20,SSID_004405,22, , 
 ,1,1406446738,62,18,0,1,1,1,0,1,0,Long,0,0,0,0,0,0,2,2412,1,0,-77,0,802.11b,0,2,1,2412,-77,0,368,192,0,0,0,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,249,20,SSID_004405,22, , 
 ,1,1406446738,62,18,0,1,1,1,0,1,0,Long,0,0,0,0,0,0,2,2412,1,0,-75,0,802.11b,0,2,1,2412,-75,0,368,192,0,0,0,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,250,20,SSID_004405,22, , 
 ,1,1406446824,62,18,0,1,1,1,0,1,0,Long,0,0,0,0,0,0,2,2412,1,0,-77,0,802.11b,0,2,1,2412,-77,0,368,192,0,0,0,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,443,20,SSID_004405,22, , 
 ,1,1406446824,62,18,0,1,1,1,0,1,0,Long,0,0,0,0,0,0,2,2412,1,0,-77,0,802.11b,0,2,1,2412,-77,0,368,192,0,0,0,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,444,20,SSID_004405,22, , 
 ,1,1406446863,62,18,0,1,1,1,0,1,0,Long,0,0,0,0,0,0,2,2412,1,0,-75,0,802.11b,0,2,1,2412,-75,0,368,192,0,0,0,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,534,20,SSID_004405,22, , 
 ,1,1406446863,62,18,0,1,1,1,0,1,0,Long,0,0,0,0,0,0,2,2412,1,0,-75,0,802.11b,0,2,1,2412,-75,0,368,192,0,0,0,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,535,20,SSID_004405,22, , 
 ,1,1406446863,62,18,0,1,1,1,0,1,0,Long,0,0,0,0,0,0,2,2412,1,0,-79,0,802.11b,0,2,1,2412,-79,0,368,192,0,0,0,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,536,20,SSID_004405,22, , 
 ,1,1406446867,62,18,0,1,1,1,0,1,0,Long,0,0,0,0,0,0,2,2412,1,0,-73,0,802.11b,0,2,1,2412,-73,0,368,192,0,0,0,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,578,20,SSID_004405,22, , 
 ,1,1406446867,62,18,0,1,1,1,0,1,0,Long,0,0,0,0,0,0,2,2412,1,0,-73,0,802.11b,0,2,1,2412,-73,0,368,192,0,0,0,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,579,20,SSID_004405,22, , 
 ,1,1406446867,62,18,0,1,1,1,0,1,0,Long,0,0,0,0,0,0,2,2412,1,0,-71,0,802.11b,0,2,1,2412,-71,0,368,192,0,0,0,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,580,20,SSID_004405,22, , 
 ,1,1406447024,62,18,0,1,1,1,0,1,0,Long,0,0,0,0,0,0,2,2412,1,0,-59,0,802.11b,0,2,1,2412,-59,0,368,192,0,0,0,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,10,20,SSID_004405,22, , 
 ,1,1406447024,62,18,0,1,1,1,0,1,0,Long,0,0,0,0,0,0,2,2412,1,0,-61,0,802.11b,0,2,1,2412,-61,0,368,192,0,0,0,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,11,20,SSID_004405,22, , 
 ,1,1406447024,62,18,0,1,1,1,0,1,0,Long,0,0,0,0,0,0,2,2412,1,0,-61,0,802.11b,0,2,1,2412,-61,0,368,192,0,0,0,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,12,20,SSID_004405,22, , 
 ,1,1406447024,62,18,0,1,1,1,0,1,0,Long,0,0,0,0,0,0,2,2412,1,0,-61,0,802.11b,0,2,1,2412,-61,0,368,192,0,0,0,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,13,20,SSID_004405,22, , 
 ,1,1406447024,62,18,0,1,1,1,0,1,0,Long,0,0,0,0,0,0,2,2412,1,0,-63,0,802.11b,0,2,1,2412,-63,0,368,192,0,0,0,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,14,20,SSID_004405,22, , 
 ,1,1406447075,62,18,0,1,1,1,0,1,0,Long,0,0,0,0,0,0,2,2412,1,0,-67,0,802.11b,0,2,1,2412,-67,0,368,192,0,0,0,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,152,20,SSID_004405,22, , 
 ,1,1406447081,62,18,0,1,1,1,0,1,0,Long,0,0,0,0,0,0,2,2412,1,0,-67,0,802.11b,0,2,1,2412,-67,0,368,192,0,0,0,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,199,20,SSID_004405,22, , 
 ,1,1406447173,62,18,0,1,1,1,0,1,0,Long,0,0,0,0,0,0,2,2412,1,0,-69,0,802.11b,0,2,1,2412,-69,0,368,192,0,0,0,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,303,20,SSID_004405,22, , 
 ,1,1406447205,62,18,0,1,1,1,0,1,0,Long,0,0,0,0,0,0,2,2412,1,0,-35,0,802.11b,0,2,1,2412,-35,0,368,192,0,0,0,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,349,20,SSID_004405,22, , 
 ,1,1406447205,62,18,0,1,1,1,0,1,0,Long,0,0,0,0,0,0,2,2412,1,0,-37,0,802.11b,0,2,1,2412,-37,0,368,192,0,0,0,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,350,20,SSID_004405,22, , 
 ,1,1406447205,62,18,0,1,1,1,0,1,0,Long,0,0,0,0,0,0,2,2412,1,0,-37,0,802.11b,0,2,1,2412,-37,0,368,192,0,0,0,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,351,20,SSID_004405,22, , 
 ,1,1406447205,62,18,0,1,1,1,0,1,0,Long,0,0,0,0,0,0,2,2412,1,0,-35,0,802.11b,0,2,1,2412,-35,0,368,192,0,0,0,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,354,20,SSID_004405,22, , 
 ,1,1406447209,62,18,0,1,1,1,0,1,0,Long,0,0,0,0,0,0,2,2412,1,0,-51,0,802.11b,0,2,1,2412,-51,0,368,192,0,0,0,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,392,20,SSID_004405,22, , 
 ,1,1406447209,62,18,0,1,1,1,0,1,0,Long,0,0,0,0,0,0,2,2412,1,0,-51,0,802.11b,0,2,1,2412,-51,0,368,192,0,0,0,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,394,20,SSID_004405,22, , 
 ,1,1406447209,62,18,0,1,1,1,0,1,0,Long,0,0,0,0,0,0,2,2412,1,0,-49,0,802.11b,0,2,1,2412,-49,0,368,192,0,0,0,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,396,20,SSID_004405,22, , 
 ,1,1406447406,62,18,0,1,1,1,0,1,0,Long,0,0,0,0,0,0,2,2412,1,0,-69,0,802.11b,0,2,1,2412,-69,0,368,192,0,0,0,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,9,20,SSID_004405,22, , 
 ,1,1406447409,51,18,0,1,1,1,0,1,0,Long,0,0,0,0,0,0,2,2412,1,0,-67,0,802.11b,0,2,1,2412,-67,0,324,192,0,0,0,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,50,9, ,22, , 
 ,1,1406447440,62,18,0,1,1,1,0,1,0,Long,0,0,0,0,0,0,2,2412,1,0,-69,0,802.11b,0,2,1,2412,-69,0,368,192,0,0,0,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,135,20,SSID_004405,22, , 
 ,1,1406447440,62,18,0,1,1,1,0,1,0,Long,0,0,0,0,0,0,2,2412,1,0,-67,0,802.11b,0,2,1,2412,-67,0,368,192,0,0,0,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,136,20,SSID_004405,22, , 
 ,1,1406447440,62,18,0,1,1,1,0,1,0,Long,0,0,0,0,0,0,2,2412,1,0,-67,0,802.11b,0,2,1,2412,-67,0,368,192,0,0,0,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,137,20,SSID_004405,22, , 
 ,1,1406447446,62,18,0,1,1,1,0,1,0,Long,0,0,0,0,0,0,2,2412,1,0,-79,0,802.11b,0,2,1,2412,-79,0,368,192,0,0,0,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,191,20,SSID_004405,22, , 
 ,1,1406447446,62,18,0,1,1,1,0,1,0,Long,0,0,0,0,0,0,2,2412,1,0,-77,0,802.11b,0,2,1,2412,-77,0,368,192,0,0,0,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,192,20,SSID_004405,22, , 
 ,1,1406447446,62,18,0,1,1,1,0,1,0,Long,0,0,0,0,0,0,2,2412,1,0,-79,0,802.11b,0,2,1,2412,-79,0,368,192,0,0,0,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,193,20,SSID_004405,22, , 
 ,1,1406447484,62,18,0,1,1,1,0,1,0,Long,0,0,0,0,0,0,2,2412,1,0,-59,0,802.11b,0,2,1,2412,-59,0,368,192,0,0,0,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,248,20,SSID_004405,22, , 
 ,10,1481330110,88,18,0,1,1,1,0,1,0,Long,0,0,0,0,0,0,0,2412,1,0,-91,0,802.11b,0,1,1,2412,-91,0,752,192,0,0,0,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,44,46, ,54, , 
 ,10,1481330176,88,18,0,1,1,1,0,1,0,Long,0,0,0,0,0,0,0,2412,1,0,-87,0,802.11b,0,1,1,2412,-87,0,752,192,0,0,0,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,59,46, ,54, , 
 ,10,1481330242,88,18,0,1,1,1,0,1,0,Long,0,0,0,0,0,0,0,2412,1,0,-87,0,802.11b,0,1,1,2412,-87,0,752,192,0,0,0,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,73,46, ,54, , 
